Base Symbol,YF Suffix,Company Name,Exchange
A1L,.BO,A-1 Limited,BSE
A2ZINFRA,.NS,A2Z Infra Engineering Limited,NSE
AAATECH,.NS,AAA Technologies Ltd.,NSE
AADHARHFC,.NS,Aadhar Housing Finance Ltd,NSE
AADIIND,.BO,Aadi Industries Limited,BSE
AAIL,.BO,Akar Auto Industries Ltd,BSE
AAKAAR,.NS,Aakaar Medical Technologies Limited,NSE
AAKASH,.NS,Aakash Exploration Services Ltd.,NSE
AANCHALISP,.BO,Aanchal Ispat Ltd,BSE
AARADHYA,.NS,Aaradhya Disposal Industries Limited,NSE
AAREYDRUGS,.NS,Aarey Drugs & Pharmaceuticals Ltd.,NSE
AARNAV,.NS,Aarnav Fashions Ltd.,NSE
AARON,.NS,Aaron Industries Ltd.,NSE
AARTECH,.NS,Aartech Solonics Ltd.,NSE
AARTIDRUGS,.NS,Aarti Drugs Limited,NSE
AARTIIND,.NS,AARTI Industries Ltd,NSE
AARTIPHARM,.NS,Aarti Pharmalabs Limited,NSE
AARTISURF,.NS,Aarti Surfactants Ltd.,NSE
AARVI,.NS,Aarvi Encon Ltd.,NSE
AASTAFIN,.BO,Aastamangalam Finance Limited,BSE
AASTHA,.NS,Aastha Spintex Limited,NSE
AAVAS,.NS,Aavas Financiers Ltd.,NSE
AAYUSH,.BO,Aayush Wellness Ltd,BSE
AAYUSHBULL,.BO,Aayush Art & Bullion Ltd,BSE
ABAN,.NS,Aban Offshore Limited,NSE
ABANSENT,.NS,ABans Enterprises Ltd.,NSE
ABATEAS,.BO,ABATE AS Industries Limited,BSE
ABB,.NS,ABB India Limited,NSE
ABBOTINDIA,.NS,Abbott India Limited,NSE
ABCAPITAL,.NS,Aditya Birla Capital Ltd.,NSE
ABCINDQ,.BO,ABC India Limited,BSE
ABCOTS,.NS,AB Cotspin India Ltd.,NSE
ABDL,.NS,Allied Blenders and Distillers Limited,NSE
ABFRL,.NS,Aditya Birla Fashion and Retail Ltd,NSE
ABHAPOWER,.NS,Abha Power & Steel Ltd.,NSE
ABHICAP,.BO,Abhinav Capital Services Limited,BSE
ABHIFIN,.BO,Abhishek Finlease Ltd,BSE
ABINFRA,.NS,A B Infrabuild Ltd,NSE
ABIRAFN,.BO,Abirami Financial Services (India) Limited,BSE
ABLBL,.NS,Aditya Birla Lifestyle Brands Limited,NSE
ABMINTLLTD,.NS,ABM International Ltd.,NSE
ABMKNO,.NS,ABM Knowledgeware Limited,NSE
ABREL,.NS,Aditya Birla Real Estate Ltd,NSE
ABRFL,.BO,Abram Food Limited,BSE
ABSLAMC,.NS,Aditya Birla Sun Life Amc Limited,NSE
ABSMARINE,.NS,ABS Marine Services Ltd.,NSE
ABVL,.BO,Arunjyoti Bio Ventures Ltd.,BSE
ACC,.NS,ACC Limited,NSE
ACCEDERE,.BO,Accedere Ltd,BSE
ACCEL,.BO,Accel Limited,BSE
ACCELYA,.NS,Accelya Solutions India Ltd.,NSE
ACCENTMIC,.NS,Accent Microcell Limited,NSE
ACCORD,.NS,Accord Synergy Ltd.,NSE
ACCORDTS,.BO,Accord Transformer & Switchgear Limited,BSE
ACCPL,.NS,Accretion Pharmaceuticals Ltd.,NSE
ACCURACY,.NS,Accuracy Shipping Ltd.,NSE
ACE,.NS,Action Construction Equipment Limited,NSE
ACEALPHA,.BO,Ace Alpha Tech Limited,BSE
ACEEDU,.BO,ACE Edutrend Limited,BSE
ACEINTEG,.NS,Ace Integrated Solutions Ltd.,NSE
ACEMEN,.BO,Ace Men Engg Works Ltd.,BSE
ACESEPP,.BO,Ace Software Exports Limited,BSE
ACESOFT,.BO,Ace Software Exports Limited,BSE
ACGL,.BO,Automobile Corporation of Goa Limited,BSE
ACHYUT,.BO,Achyut Healthcare Ltd.,BSE
ACI,.NS,Archean Chemical Industries Ltd.,NSE
ACIIN,.BO,ACI Infocom Ltd,BSE
ACKNIT,.BO,Acknit Industries Limited,BSE
ACL,.NS,Andhra Cements Limited,NSE
ACLD,.BO,Aelea Commodities Limited,BSE
ACME,.BO,Acme Resources Ltd.,BSE
ACMESOLAR,.NS,ACME Solar Holdings Ltd.,NSE
ACML,.BO,Aditya Consumer Marketing Ltd.,BSE
ACSTECH,.NS,ACS Technologies Ltd,NSE
ACTIVE,.BO,Active Clothing Co. Ltd.,BSE
ACUTAAS,.NS,Acutaas Chemicals Ltd,NSE
ADANIENSOL,.NS,Adani Energy Solutions Ltd,NSE
ADANIENT,.NS,Adani Enterprises Limited,NSE
ADANIGREEN,.NS,Adani Green Energy Limited,NSE
ADANIPORTS,.NS,Adani Ports & Special Economic Zone Ltd,NSE
ADANIPOWER,.NS,Adani Power Limited,NSE
ADARSHPL,.BO,Adarsh Plant Protect Ltd.,BSE
ADCINDIA,.BO,ADC India Communications Limited,BSE
ADCON,.BO,Adcon Capital Services Ltd.,BSE
ADCOUNTY,.BO,AdCounty Media India Limited,BSE
ADDICTIVE,.NS,Addictive Learning Technology Ltd.,NSE
ADDIND,.BO,Addi Industries Limited,BSE
ADESHWAR,.BO,Adeshwar Meditex Ltd.,BSE
ADFFOODS,.NS,ADF Foods Limited,NSE
ADHBHUTIN,.BO,Adhbhut Infrastructure Ltd.,BSE
ADHHATA,.BO,Adhata Global Limited,BSE
ADINATH,.BO,Adinath Textiles Ltd.,BSE
ADISHAKTI,.BO,Afloat Enterprises Limited,BSE
ADISOFT,.NS,Adisoft Technologies Limited,NSE
ADITYA,.BO,Aditya Ispat Limited,BSE
ADITYASP,.BO,Aditya Spinners Ltd.,BSE
ADL,.NS,Archidply Decor Ltd,NSE
ADMACH,.BO,Admach Systems Ltd.,BSE
ADMANUM,.BO,Ad-Manum Finance Ltd.,BSE
ADON,.BO,Adon Agro Commodities Limited,BSE
ADOR,.NS,Ador Welding Limited,NSE
ADROITINFO,.NS,Adroit Infotech Limited,NSE
ADSL,.NS,Allied Digital Services Limited,NSE
ADTECH,.BO,Adtech Systems Ltd.,BSE
ADVAIT,.NS,Advait Energy Transitions Ltd,NSE
ADVANCE,.NS,Advance Agrolife Ltd.,NSE
ADVANIHOTR,.NS,Advani Hotels & Resorts (India) Ltd.,NSE
ADVENTHTL,.NS,Advent Hotels International Limited,NSE
ADVENZYMES,.NS,Advanced Enzyme Technologies Ltd,NSE
ADVIKCA,.BO,Advik Capital Ltd,BSE
ADVLIFE,.BO,Advance Lifestyles Ltd.,BSE
AEGISLOG,.NS,Aegis Logistics Limited,NSE
AEGISVOPAK,.NS,Aegis Vopak Terminals Limited,NSE
AEIM,.BO,Artificial Electronics Intelligent Material Limited,BSE
AEL,.BO,Amba Enterprises Ltd,BSE
AEONXDIGI,.BO,Aeonx Digital Technology Limited,BSE
AEPL,.NS,Artemis Electricals & Projects Limited,NSE
AEQUS,.NS,Aequs Ltd.,NSE
AEROENTER,.NS,Aeroflex Enterprises Ltd,NSE
AEROFLEX,.NS,Aeroflex Industries Ltd.,NSE
AERON,.NS,Aeron Composite Limited,NSE
AERONEU,.NS,Aeroflex Neu Limited,NSE
AERPACE,.BO,Aerpace Industries Ltd,BSE
AETHER,.NS,Aether Industries Ltd.,NSE
AFCOM,.BO,Afcom Holdings Limited,BSE
AFCONS,.NS,Afcons Infrastructure Limited,NSE
AFEL,.BO,AF Enterprises Limited,BSE
AFFLE,.NS,Affle 3i Limited,NSE
AFFORDABLE,.NS,Affordable Robotic & Automation Ltd.,NSE
AFIL,.NS,Akme Fintrade (India) Limited,NSE
AFLTD,.BO,Autofurnish Limited,BSE
AFSL,.NS,Abans Financial Services Ltd,NSE
AGARIND,.NS,Agarwal Industrial Corporation Limited,NSE
AGARWAL,.BO,Agarwal Fortune India Limited,BSE
AGARWALEYE,.NS,Dr. Agarwal's Health Care Ltd.,NSE
AGARWALFT,.NS,Agarwal Float Glass India Limited,NSE
AGARWALTUF,.NS,Agarwal Toughened Glass India Limited,NSE
AGI,.NS,AGI Greenpac Limited,NSE
AGIIL,.NS,Agi Infra Ltd.,NSE
